Dataset,Algorithm,Runtime_mean,Runtime_std,Silhouette_mean,Silhouette_std,V_Measure_mean,V_Measure_std,ARI_mean,ARI_std
Covertype,KMeans,0.6447285413742065,0.3876350613414461,0.11313688937460516,0.010740892711775068,0.1756732713598545,0.029807180095011602,0.07979614758259758,0.024665637126025777
Covertype,MiniBatch KMeans,0.3856431245803833,0.07313280649379267,0.09434195224230044,0.014776337730141581,0.14719245471043324,0.035553789963961906,0.06807779704022557,0.022847212578120685
Covertype,Fuzzy C-Means,0.5714049339294434,0.07301508984965809,0.0817384898569429,0.01962927589789945,0.06990290218179315,0.00013361020267587778,0.0012997183527003254,9.983005118218483e-05
Covertype,MiniBatch FCM,0.3250037670135498,0.023377387428540536,0.08694086246936832,0.012266916550599012,0.06987937709843563,0.00018206786465272613,0.001393779481935468,0.0002588554694941531
Fashion-MNIST,KMeans,1.9038016319274902,0.41385772588424563,0.1839866807513025,0.010482876736187603,0.5097237487876308,0.009384150670317276,0.35684643552410644,0.014976991397479334
Fashion-MNIST,MiniBatch KMeans,0.5225445985794067,0.07934250903051501,0.17727532358855555,0.013036445304354024,0.500046511134143,0.01811418730097528,0.34497477090305456,0.02285934070064604
Fashion-MNIST,Fuzzy C-Means,14.358757996559143,1.6642603028087781,0.056025505234407844,0.020473609698015392,0.2981198825296086,0.009431564540578353,0.1887703308420111,0.008614203086442427
Fashion-MNIST,MiniBatch FCM,0.3619683027267456,0.011886889527919825,0.07989660983141318,0.011788586476847168,0.37214100744391715,0.008224327979195221,0.27037297130986204,0.010889871723706769
